Card Set,Number,Player,Team,Seq.
1981 Tribute Gold Vinyl,31,Devonta Freeman,Atlanta Falcons,1
1981 Tribute Gold Vinyl,32,Tom Brady,New England Patriots,1
1981 Tribute Gold Vinyl,33,Amari Cooper,Oakland Raiders,1
1981 Tribute Gold Vinyl,34,Cam Newton,Carolina Panthers,1
1981 Tribute Gold Vinyl,35,David Johnson,Arizona Cardinals,1
1981 Tribute Green,1,DeMarco Murray,Tennessee Titans,5
1981 Tribute Green,2,Todd Gurley II,Los Angeles Rams,5
1981 Tribute Green,3,Drew Brees,New Orleans Saints,5
1981 Tribute Green,4,Larry Fitzgerald,Arizona Cardinals,5
1981 Tribute Green,5,Carson Wentz,Philadelphia Eagles,5
1981 Tribute Green,6,Jordan Howard,Chicago Bears,5
1981 Tribute Green,7,Antonio Brown,Pittsburgh Steelers,5
1981 Tribute Green,8,Ezekiel Elliott,Dallas Cowboys,5
1981 Tribute Green,9,Richard Sherman,Seattle Seahawks,5
1981 Tribute Green,10,Aaron Rodgers,Green Bay Packers,5
1981 Tribute Green,11,Khalil Mack,Oakland Raiders,5
1981 Tribute Green,12,Jarvis Landry,Miami Dolphins,5
1981 Tribute Green,13,Odell Beckham Jr.,New York Giants,5
1981 Tribute Green,14,Julio Jones,Atlanta Falcons,5
1981 Tribute Green,15,Ben Roethlisberger,Pittsburgh Steelers,5
1981 Tribute Green,16,A.J. Green,Cincinnati Bengals,5
1981 Tribute Green,17,Philip Rivers,Los Angeles Chargers,5
1981 Tribute Green,18,Von Miller,Denver Broncos,5
1981 Tribute Green,19,Jameis Winston,Tampa Bay Buccaneers,5
1981 Tribute Green,20,J.J. Watt,Houston Texans,5
1981 Tribute Green,21,Kirk Cousins,Washington Redskins,5
1981 Tribute Green,22,Adrian Peterson,New Orleans Saints,5
1981 Tribute Green,23,Derek Carr,Oakland Raiders,5
1981 Tribute Green,24,Matt Ryan,Atlanta Falcons,5
1981 Tribute Green,25,Le'Veon Bell,Pittsburgh Steelers,5
1981 Tribute Green,26,Dak Prescott,Dallas Cowboys,5
1981 Tribute Green,27,Russell Wilson,Seattle Seahawks,5
1981 Tribute Green,28,Matthew Stafford,Detroit Lions,5
1981 Tribute Green,29,Marcus Mariota,Tennessee Titans,5
1981 Tribute Green,30,Andrew Luck,Indianapolis Colts,5
1981 Tribute Green,31,Devonta Freeman,Atlanta Falcons,5
1981 Tribute Green,32,Tom Brady,New England Patriots,5
1981 Tribute Green,33,Amari Cooper,Oakland Raiders,5
1981 Tribute Green,34,Cam Newton,Carolina Panthers,5
1981 Tribute Green,35,David Johnson,Arizona Cardinals,5
1981 Tribute Red,1,DeMarco Murray,Tennessee Titans,99
1981 Tribute Red,2,Todd Gurley II,Los Angeles Rams,99
1981 Tribute Red,3,Drew Brees,New Orleans Saints,99
1981 Tribute Red,4,Larry Fitzgerald,Arizona Cardinals,99
1981 Tribute Red,5,Carson Wentz,Philadelphia Eagles,99
1981 Tribute Red,6,Jordan Howard,Chicago Bears,99
1981 Tribute Red,7,Antonio Brown,Pittsburgh Steelers,99
1981 Tribute Red,8,Ezekiel Elliott,Dallas Cowboys,99
1981 Tribute Red,9,Richard Sherman,Seattle Seahawks,99
1981 Tribute Red,10,Aaron Rodgers,Green Bay Packers,99
1981 Tribute Red,11,Khalil Mack,Oakland Raiders,99
1981 Tribute Red,12,Jarvis Landry,Miami Dolphins,99
1981 Tribute Red,13,Odell Beckham Jr.,New York Giants,99
1981 Tribute Red,14,Julio Jones,Atlanta Falcons,99
1981 Tribute Red,15,Ben Roethlisberger,Pittsburgh Steelers,99
1981 Tribute Red,16,A.J. Green,Cincinnati Bengals,99
1981 Tribute Red,17,Philip Rivers,Los Angeles Chargers,99
1981 Tribute Red,18,Von Miller,Denver Broncos,99
1981 Tribute Red,19,Jameis Winston,Tampa Bay Buccaneers,99
1981 Tribute Red,20,J.J. Watt,Houston Texans,99
1981 Tribute Red,21,Kirk Cousins,Washington Redskins,99
1981 Tribute Red,22,Adrian Peterson,New Orleans Saints,99
1981 Tribute Red,23,Derek Carr,Oakland Raiders,99
1981 Tribute Red,24,Matt Ryan,Atlanta Falcons,99
1981 Tribute Red,25,Le'Veon Bell,Pittsburgh Steelers,99
1981 Tribute Red,26,Dak Prescott,Dallas Cowboys,99
1981 Tribute Red,27,Russell Wilson,Seattle Seahawks,99
1981 Tribute Red,28,Matthew Stafford,Detroit Lions,99
1981 Tribute Red,29,Marcus Mariota,Tennessee Titans,99
1981 Tribute Red,30,Andrew Luck,Indianapolis Colts,99
1981 Tribute Red,31,Devonta Freeman,Atlanta Falcons,99
1981 Tribute Red,32,Tom Brady,New England Patriots,99
1981 Tribute Red,33,Amari Cooper,Oakland Raiders,99
1981 Tribute Red,34,Cam Newton,Carolina Panthers,99
1981 Tribute Red,35,David Johnson,Arizona Cardinals,99
AKA,1,Roger Staubach,Dallas Cowboys,
AKA,2,Jameis Winston,Tampa Bay Buccaneers,
AKA,3,Travis Kelce,Kansas City Chiefs,
AKA,4,Joe Namath,New York Jets,
AKA,5,Marshawn Lynch,Oakland Raiders,
AKA,6,Cam Newton,Carolina Panthers,
AKA,7,Randy White,Dallas Cowboys,
AKA,8,Ezekiel Elliott,Dallas Cowboys,
AKA,9,Terry Bradshaw,Pittsburgh Steelers,
AKA,10,Jerome Bettis,Pittsburgh Steelers,
AKA,11,Tyrann Mathieu,Arizona Cardinals,
AKA,12,Christian Okoye,Kansas City Chiefs,
AKA,13,Ed Reed,Baltimore Ravens,
AKA,14,Gale Sayers,Chicago Bears,
AKA,15,Tom Brady,New England Patriots,
AKA,16,Jerry Rice,San Francisco 49ers,
AKA,17,Walter Payton,Chicago Bears,
AKA,18,Deion Sanders,Dallas Cowboys,
AKA,19,Peyton Manning,Indianapolis Colts,
AKA,20,Rob Gronkowski,New England Patriots,
AKA,21,J.J. Watt,Houston Texans,
