2017 TOPPS BASEBALL UPDATE SERIES,,,,
BASE,,,,
US287,Mark Leiter Jr.,Philadelphia Phillies,Rookie
US289,Sam Travis,Boston Red Sox,Rookie
US294,Bobby Wahl,Oakland Athletics,Rookie
US295,Ben Taylor,Boston Red Sox,Rookie
INSERT,,,
TOPPS SALUTE,,,
USS-1,Mike Trout,Angels,
USS-2,Jose Altuve,Houston Astros,
USS-3,Nelson Cruz,Seattle Mariners,
USS-4,Francisco Lindor,Cleveland Indians,
USS-5,Koda Glover,Washington Nationals,Rookie
USS-6,Manny Machado,Baltimore Orioles,
USS-7,Ichiro,Miami Marlins,
USS-8,Jesse Winker,Cincinnati Reds,Rookie
USS-9,Ian Happ,Chicago Cubs,Rookie
USS-10,Clayton Kershaw,Los Angeles Dodgers,
USS-11,Mitch Haniger,Seattle Mariners,Rookie
USS-12,Mitch Haniger,Seattle Mariners,Rookie
USS-13,Tim Anderson,Chicago White Sox,
USS-14,Franklin Barreto,Oakland Athletics,Rookie

USS-15,Jeff Hoffman,Colorado Rockies,Rookie
USS-16,Alex Bregman,Houston Astros,
USS-17,George Springer,Houston Astros,
USS-18,Antonio Senzatela,Colorado Rockies,Rookie
USS-19,Lewis Brinson,Milwaukee Brewers,Rookie
USS-20,Chris Sale,Boston Red Sox,
USS-21,Sean Newcomb,Atlanta Braves,Rookie
USS-22,Manny Margot,San Diego Padres,Rookie
USS-23,Bradley Zimmer,Cleveland Indians,Rookie
USS-24,Javier Baez,Chicago Cubs,
USS-25,Masahiro Tanaka,New York Yankees,
USS-26,Gerrit Cole,Pittsburgh Pirates,
USS-27,Kendrys Morales,Toronto Blue Jays,
USS-28,Max Scherzer,Washington Nationals,
USS-29,Andrew Benintendi,Boston Red Sox,Rookie
USS-30,Bryce Harper,Washington Nationals,
USS-31,Dansby Swanson,Atlanta Braves,Rookie
USS-32,Josh Reddick,Houston Astros,
USS-33,Keon Broxton,Milwaukee Brewers,
USS-34,Amir Garrett,Cincinnati Reds,Rookie
USS-35,Jordan Montgomery,New York Yankees,Rookie
USS-36,Marcell Ozuna,Miami Marlins,
USS-37,Starling Marte,Pittsburgh Pirates,
USS-38,Michael Pineda,New York Yankees,
USS-39,Nomar Mazara,Texas Rangers,
USS-40,Daniel Murphy,Washington Nationals,
USS-41,Christian Arroyo,San Francisco Giants,Rookie
USS-42,Billy Hamilton,Cincinnati Reds,
USS-43,Cody Bellinger,Los Angeles Dodgers,Rookie
USS-44,Randal Grichuk,St. Louis Cardinals,
USS-45,Ryan Braun,Milwaukee Brewers,
USS-46,Jose Bautista,Toronto Blue Jays,
USS-47,Andrew McCutchen,Pittsburgh Pirates,
USS-48,Mark Trumbo,Baltimore Orioles,
USS-49,Kyle Freeland,Colorado Rockies,Rookie
USS-50,Anthony Rizzo,Chicago Cubs,
MLB MVP AWARD INSERT,,,
MVP-1,Mike Trout,Angels,
MVP-2,Roger Clemens,Boston Red Sox,
MVP-3,Rickey Henderson,Oakland Athletics,
MVP-4,Clayton Kershaw,Los Angeles Dodgers,
MVP-5,Frank Thomas,Chicago White Sox,
MVP-6,Sandy Koufax,Los Angeles Dodgers,
MVP-7,Chipper Jones,Atlanta Braves,
MVP-8,Ichiro,Seattle Mariners,
MVP-9,Roger Maris,New York Yankees,
MVP-10,Kris Bryant,Chicago Cubs,
MVP-11,Ken Griffey Jr.,Seattle Mariners,
MVP-12,Jackie Robinson,Brooklyn Dodgers,
MVP-13,Reggie Jackson,Oakland Athletics,
MVP-14,Joey Votto,Cincinnati Reds,
MVP-15,Cal Ripken Jr.,Baltimore Orioles,
MVP-16,Brooks Robinson,Baltimore Orioles,
MVP-17,Babe Ruth,New York Yankees,
MVP-18,Bryce Harper,Washington Nationals,
MVP-19,Roberto Clemente,Pittsburgh Pirates,
MVP-20,Carl Yastrzemski,Boston Red Sox,
MVP-21,George Brett,Kansas City Royals,
MVP-22,Josh Donaldson,Toronto Blue Jays,
MVP-23,Don Mattingly,New York Yankees,
MVP-24,Buster Posey,San Francisco Giants,
MVP-25,Ty Cobb,Detroit Tigers,
MVP-26,Ernie Banks,Chicago Cubs,
MVP-27,Lou Gehrig,New York Yankees,
MVP-28,Ted Williams,Boston Red Sox,
MVP-29,Johnny Bench,Cincinnati Reds,
MVP-30,Hank Aaron,Milwaukee Braves,
TOPPS ALL ROOKIE CUP,,,
ARC-1,Chipper Jones,Atlanta Braves,
ARC-2,Stephen Strasburg,Washington Nationals,
ARC-3,Eddie Murray,Baltimore Orioles,
ARC-4,Andre Dawson,Montreal Expos,
ARC-5,Mike Trout,Angels,
ARC-6,Ichiro,Seattle Mariners,
ARC-7,Ryan Braun,Milwaukee Brewers,
ARC-8,Derek Jeter,New York Yankees,
ARC-9,Willie McCovey,San Francisco Giants,
ARC-10,Joe Mauer,Minnesota Twins,
ARC-11,Jeff Bagwell,Houston Astros,
ARC-12,Evan Longoria,Tampa Bay Rays,
ARC-13,Cal Ripken Jr.,Baltimore Orioles,
ARC-14,Cal Ripken Jr.,Baltimore Orioles,
ARC-15,Ivan Rodriguez,Texas Rangers,
ARC-16,Ryne Sandberg,Chicago Cubs,
ARC-17,Johnny Bench,Cincinnati Reds,

ARC-18,Tom Seaver,New York Mets,
ARC-19,Andrew McCutchen,Pittsburgh Pirates,
ARC-20,Yasiel Puig,Los Angeles Dodgers,
ARC-21,Anthony Rizzo,Chicago Cubs,
ARC-22,Ken Griffey Jr.,Seattle Mariners,
ARC-23,Buster Posey,San Francisco Giants,
ARC-24,Tony Pérez,Cincinnati Reds,
ARC-25,Carlton Fisk,Boston Red Sox,
ARC-26,Fernando Valenzuela,Los Angeles Dodgers,
ARC-27,Mike Piazza,Los Angeles Dodgers,
ARC-28,Dustin Pedroia,Boston Red Sox,
ARC-29,Tim Raines,Montreal Expos,
ARC-30,Noah Syndergaard,New York Mets,
ARC-31,Billy Williams,Chicago Cubs,
ARC-32,Joey Votto,Cincinnati Reds,
ARC-33,Justin Verlander,Detroit Tigers,
ARC-34,George Springer,Houston Astros,
ARC-35,Jose Canseco,Oakland Athletics,
ARC-36,Nomar Garciaparra,Boston Red Sox,
ARC-37,Gary Carter,Montreal Expos,
ARC-38,Kris Bryant,Chicago Cubs,
ARC-39,Nolan Arenado,Colorado Rockies,
