BASE,,,
192,Noah Syndergaard,New York Mets,RC
193,Mark Canha,Oakland Athletics™,RC
194,Paulo Orlando,Kansas City Royals,RC
195,Kendall Graveman,Oakland Athletics™,RC
196,Eduardo Rodriguez,Boston Red Sox,RC
197,Anthony Ranaudo,Texas Rangers,RC
198,Maikel Franco,Philadelphia Phillies,RC
199,Odubel Herrera,Philadelphia Phillies,RC
200,Kris Bryant,Chicago Cubs,RC
AUTOGRAPH,,,
CHROME PROSPECT AUTOGRAPH,,,
BCAP-ABR,Aaron Brown,Philadelphia Phillies
BCAP-AC,Austin Cousino,Seattle Mariners™
BCAP-AD,Austin Dean,Miami Marlins
BCAP-AG,Arquimedes Gamboa,Philadelphia Phillies
BCAP-AGA,Amir Garrett,Cincinnati Reds
BCAP-AM,Amaurys Minier,Minnesota Twins
BCAP-AMO,Akeel Morris,New York Mets
BCAP-AS,Antonio Senzatela,Colorado Rockies™
BCAP-ASA,Adrian Sampson,Pittsburgh Pirates
BCAP-AV,Austin Voth,Washington Nationals
BCAP-BB,Bobby Bradley,Cleveland Indians
BCAP-BG,Brett Graves,Oakland Athletics™
BCAP-BH,Brent Honeywell,Tampa Bay Rays™
BCAP-BP,Brett Phillips,Houston Astros
BCAP-BW,Bobby Wahl,Oakland Athletics™
BCAP-CBE,Cody Bellinger,Los Angeles Dodgers
BCAP-CG,Casey Gillaspie,Tampa Bay Rays™
BCAP-CP,Corelle Prime,Colorado Rockies™
BCAP-CR,Cody Reed,Arizona Diamondbacks
BCAP-CS,Casey Soltis,Miami Marlins
BCAP-CSI,Carson Smith,Seattle Mariners™
BCAP-DC,Daniel Carbonell,San Francisco Giants
BCAP-DD,Drew Dosch,Baltimore Orioles
BCAP-DG,Dermis Garcia,New York Yankees
BCAP-DM,Dixon Machado,Detroit Tigers
BCAP-DS,Darnell Sweeney,Los Angeles Dodgers
BCAP-EB,Endrys Briceno,Detroit Tigers
BCAP-FP,Fernando Perez,San Diego Padres™
BCAP-GG,Grayson Greiner,Detroit Tigers
BCAP-GL,Gilbert Lara,Milwaukee Brewers™
BCAP-GT,Gleyber Torres,Chicago Cubs
BCAP-GU,Giovanny Urshela,Cleveland Indians
BCAP-HO,Hector Olivera,Los Angeles Dodgers
BCAP-IS,Isael Soto,Miami Marlins
BCAP-JC,Jake Cave,New York Yankees
BCAP-JD,J.D. Davis,Houston Astros
BCAP-JG,Jarlin Garcia,Miami Marlins
BCAP-JL,Jairo Labourt,Toronto Blue Jays
BCAP-JM,Juan Meza,Toronto Blue Jays
BCAP-JMO,Jon Moscot,Cincinnati Reds
BCAP-JOM,Josh Morgan,Texas Rangers
BCAP-JR,Jefry Rodriguez,Washington Nationals
BCAP-JS,Justin Steele,Chicago Cubs
BCAP-JU,Jhoan Urena,New York Mets
BCAP-JUL,Julian Leon,Los Angeles Dodgers
BCAP-JW,Joe Wendle,Oakland Athletics™
BCAP-LG,Luiz Gohara,Seattle Mariners™
BCAP-LY,Luis Ysla,San Francisco Giants
BCAP-MC,Michael Conforto,New York Mets
BCAP-MC,Miguel Castro,Toronto Blue Jays
BCAP-MD,Marcos Diplan,Milwaukee Brewers™
