Card Set,Number,Player,Team
Autograph MLB Batterman Patch Book,IMLP-YA,Yordan Alvarez,Houston Astros
Dual Autograph Relic Book,DARB-AG,Adbert Alzolay,Chicago Cubs
Dual Autograph Relic Book,DARB-AG,Robel Garcia,Chicago Cubs
Dual Autograph Relic Book,DARB-AM,Pete Alonso,New York Mets
Dual Autograph Relic Book,DARB-AM,Jeff McNeil,New York Mets
Dual Autograph Relic Book,DARB-AR,Ronald Acuña Jr.,Atlanta Braves
Dual Autograph Relic Book,DARB-AR,Austin Riley,Atlanta Braves
Dual Autograph Relic Book,DARB-GB,Vladimir Guerrero Jr.,Toronto Blue Jays
Dual Autograph Relic Book,DARB-GB,Cavan Biggio,Toronto Blue Jays
Dual Autograph Relic Book,DARB-GBI,Vladimir Guerrero Jr.,Toronto Blue Jays
Dual Autograph Relic Book,DARB-GBI,Bo Bichette,Toronto Blue Jays
Dual Autograph Relic Book,DARB-JT,Aaron Judge,New York Yankees
Dual Autograph Relic Book,DARB-JT,Gleyber Torres,New York Yankees
Dual Autograph Relic Book,DARB-LY,Domingo Leyba,Arizona Diamondbacks
Dual Autograph Relic Book,DARB-LY,Alex Young,Arizona Diamondbacks
Dual Autograph Relic Book,DARB-SA,Nick Senzel,Cincinnati Reds
Dual Autograph Relic Book,DARB-SA,Yordan Alvarez,Houston Astros
Dual Autograph Relic Book,DARB-TO,Mike Trout,Los Angeles Angels
Dual Autograph Relic Book,DARB-TO,Shohei Ohtani,Los Angeles Angels
Autograph Game Socks Relics,IAGS-AA,Adbert Alzolay,Chicago Cubs
Autograph Game Socks Relics,IAGS-AAQ,Aristides Aquino,Cincinnati Reds
Autograph Game Socks Relics,IAGS-AC,Aaron Civale,Cleveland Indians
Autograph Game Socks Relics,IAGS-AJP,A.J. Puk,Oakland Athletics
Autograph Game Socks Relics,IAGS-AY,Alex Young,Arizona Diamondbacks
Autograph Game Socks Relics,IAGS-BB,Bobby Bradley,Cleveland Indians
Autograph Game Socks Relics,IAGS-BBI,Bo Bichette,Toronto Blue Jays
Autograph Game Socks Relics,IAGS-DC,Dylan Cease,Chicago White Sox
Autograph Game Socks Relics,IAGS-DL,Domingo Leyba,Arizona Diamondbacks
Autograph Game Socks Relics,IAGS-DM,Dustin May,Los Angeles Dodgers
Autograph Game Socks Relics,IAGS-GL,Gavin Lux,Los Angeles Dodgers
Autograph Game Socks Relics,IAGS-ID,Isan Diaz,Miami Marlins
Autograph Game Socks Relics,IAGS-JR,Jake Rogers,Detroit Tigers
Autograph Game Socks Relics,IAGS-JY,Jordan Yamamoto,Miami Marlins
Autograph Game Socks Relics,IAGS-LA,Logan Allen,Cleveland Indians
Autograph Game Socks Relics,IAGS-MB,Michael Brosseau,Tampa Bay Rays
Autograph Game Socks Relics,IAGS-MD,Mauricio Dubon,San Francisco Giants
Autograph Game Socks Relics,IAGS-RG,Robel Garcia,Chicago Cubs
Autograph Game Socks Relics,IAGS-SM,Sean Murphy,Oakland Athletics
Autograph Game Socks Relics,IAGS-YC,Yu Chang,Cleveland Indians
Rookie and Emerging Star Autographs,RESA-AA,Adbert Alzolay,Chicago Cubs
Rookie and Emerging Star Autographs,RESA-AAQ,Aristides Aquino,Cincinnati Reds
Rookie and Emerging Star Autographs,RESA-AC,Aaron Civale,Cleveland Indians
Rookie and Emerging Star Autographs,RESA-AJP,A.J. Puk,Oakland Athletics
Rookie and Emerging Star Autographs,RESA-AK,Anthony Kay,Toronto Blue Jays
Rookie and Emerging Star Autographs,RESA-AMU,Andres Munoz,San Diego Padres
Rookie and Emerging Star Autographs,RESA-AN,Austin Nola,Seattle Mariners
Rookie and Emerging Star Autographs,RESA-AR,Austin Riley,Atlanta Braves
Rookie and Emerging Star Autographs,RESA-AT,Abraham Toro,Houston Astros
Rookie and Emerging Star Autographs,RESA-AY,Alex Young,Arizona Diamondbacks
Rookie and Emerging Star Autographs,RESA-BB,Bobby Bradley,Cleveland Indians
Rookie and Emerging Star Autographs,RESA-BBI,Bo Bichette,Toronto Blue Jays
Rookie and Emerging Star Autographs,RESA-BM,Brendan McKay,Tampa Bay Rays
Rookie and Emerging Star Autographs,RESA-BR,Brendan Rodgers,Colorado Rockies
Rookie and Emerging Star Autographs,RESA-BRE,Bryan Reynolds,Pittsburgh Pirates
Rookie and Emerging Star Autographs,RESA-CA,Chance Adams,New York Yankees
Rookie and Emerging Star Autographs,RESA-CK,Carter Kieboom,Washington Nationals
Rookie and Emerging Star Autographs,RESA-CP,Chris Paddack,San Diego Padres
Rookie and Emerging Star Autographs,RESA-CT,Cole Tucker,Pittsburgh Pirates
Rookie and Emerging Star Autographs,RESA-DC,Dylan Cease,Chicago White Sox
Rookie and Emerging Star Autographs,RESA-DF,David Fletcher,Los Angeles Angels
Rookie and Emerging Star Autographs,RESA-DJ,Danny Jansen,Toronto Blue Jays
Rookie and Emerging Star Autographs,RESA-DL,Domingo Leyba,Arizona Diamondbacks
Rookie and Emerging Star Autographs,RESA-DM,Dustin May,Los Angeles Dodgers
Rookie and Emerging Star Autographs,RESA-DSJ,Dwight Smith Jr.,Baltimore Orioles
Rookie and Emerging Star Autographs,RESA-GC,Griffin Canning,Los Angeles Angels
Rookie and Emerging Star Autographs,RESA-GH,Garrett Hampson,Colorado Rockies
Rookie and Emerging Star Autographs,RESA-GL,Gavin Lux,Los Angeles Dodgers
Rookie and Emerging Star Autographs,RESA-GT,Gleyber Torres,New York Yankees
Rookie and Emerging Star Autographs,RESA-HH,Hunter Harvey,Baltimore Orioles
Rookie and Emerging Star Autographs,RESA-ID,Isan Diaz,Miami Marlins
Rookie and Emerging Star Autographs,RESA-JAM,James Marvel,Pittsburgh Pirates
Rookie and Emerging Star Autographs,RESA-JB,Jake Bauers,Cleveland Indians
Rookie and Emerging Star Autographs,RESA-JD,Jon Duplantier,Arizona Diamondbacks
Rookie and Emerging Star Autographs,RESA-JL,Jesus Luzardo,Oakland Athletics
Rookie and Emerging Star Autographs,RESA-JME,John Means,Baltimore Orioles
Rookie and Emerging Star Autographs,RESA-JN,Josh Naylor,San Diego Padres
Rookie and Emerging Star Autographs,RESA-JR,Jake Rogers,Detroit Tigers
Rookie and Emerging Star Autographs,RESA-JSO,Juan Soto,Washington Nationals
Rookie and Emerging Star Autographs,RESA-JST,Josh Staumont,Kansas City Royals
Rookie and Emerging Star Autographs,RESA-JU,Jose Urquidy,Houston Astros
Rookie and Emerging Star Autographs,RESA-JY,Jordan Yamamoto,Miami Marlins
Rookie and Emerging Star Autographs,RESA-KH,Keston Hiura,Milwaukee Brewers
Rookie and Emerging Star Autographs,RESA-KN,Kevin Newman,Pittsburgh Pirates
Rookie and Emerging Star Autographs,RESA-LA,Logan Allen,Cleveland Indians
Rookie and Emerging Star Autographs,RESA-LAR,Luis Arraez,Minnesota Twins
Rookie and Emerging Star Autographs,RESA-LR,Luis Robert,Chicago White Sox
Rookie and Emerging Star Autographs,RESA-MBE,Matt Beaty,Los Angeles Dodgers
Rookie and Emerging Star Autographs,RESA-MBR,Michael Brosseau,Tampa Bay Rays
Rookie and Emerging Star Autographs,RESA-MC,Michael Chavis,Boston Red Sox
Rookie and Emerging Star Autographs,RESA-MD,Mauricio Dubon,San Francisco Giants
Rookie and Emerging Star Autographs,RESA-MK,Mitch Keller,Pittsburgh Pirates
Rookie and Emerging Star Autographs,RESA-MKE,Merrill Kelly,Arizona Diamondbacks
Rookie and Emerging Star Autographs,RESA-MT,Matt Thaiss,Los Angeles Angels
Rookie and Emerging Star Autographs,RESA-MTA,Mike Tauchman,New York Yankees
Rookie and Emerging Star Autographs,RESA-MY,Mike Yastrzemski,San Francisco Giants
Rookie and Emerging Star Autographs,RESA-NH,Nico Hoerner,Chicago Cubs
