Card Set,Number,Player,Team
Franchise Futures,FF-RH,Gunnar Henderson,Baltimore Orioles
Franchise Futures,FF-VT,Andrew Vaughn,Chicago White Sox
Franchise Futures,FF-VT,Matthew Thompson,Chicago White Sox
Franchise Futures,FF-WMA,Blake Walston,Arizona Diamondbacks
Franchise Futures,FF-WMA,Brennan Malone,Arizona Diamondbacks
Draft Progression Trios,DPR-ARI,Pavin Smith,Arizona Diamondbacks
Draft Progression Trios,DPR-ARI,Corbin Carroll,Arizona Diamondbacks
Draft Progression Trios,DPR-ARI,Jake McCarthy,Arizona Diamondbacks
Draft Progression Trios,DPR-ATL,Drew Waters,Atlanta Braves
Draft Progression Trios,DPR-ATL,Greyson Jenista,Atlanta Braves
Draft Progression Trios,DPR-ATL,Shea Langeliers,Atlanta Braves
Draft Progression Trios,DPR-BAL,Adley Rutschman,Baltimore Orioles
Draft Progression Trios,DPR-BAL,Grayson Rodriguez,Baltimore Orioles
Draft Progression Trios,DPR-BAL,D.L. Hall,Baltimore Orioles
Draft Progression Trios,DPR-CIN,Nick Lodolo,Cincinnati Reds
Draft Progression Trios,DPR-CIN,Hunter Greene,Cincinnati Reds
Draft Progression Trios,DPR-CIN,Jonathan India,Cincinnati Reds
Draft Progression Trios,DPR-CWS,Andrew Vaughn,Chicago White Sox
Draft Progression Trios,DPR-CWS,Jake Burger,Chicago White Sox
Draft Progression Trios,DPR-CWS,Nick Madrigal,Chicago White Sox
Draft Progression Trios,DPR-DET,Alex Faedo,Detroit Tigers
Draft Progression Trios,DPR-DET,Casey Mize,Detroit Tigers
Draft Progression Trios,DPR-DET,Riley Greene,Detroit Tigers
Draft Progression Trios,DPR-MIA,Connor Scott,Miami Marlins
Draft Progression Trios,DPR-MIA,J.J. Bleday,Miami Marlins
Draft Progression Trios,DPR-MIA,Trevor Rogers,Miami Marlins
Draft Progression Trios,DPR-NYM,Carlos Cortes,New York Mets
Draft Progression Trios,DPR-NYM,Brett Baty,New York Mets
Draft Progression Trios,DPR-NYM,David Peterson,New York Mets
Draft Progression Trios,DPR-PIT,Quinn Priester,Pittsburgh Pirates
Draft Progression Trios,DPR-PIT,Cal Mitchell,Pittsburgh Pirates
Draft Progression Trios,DPR-PIT,Travis Swaggerty,Pittsburgh Pirates
Draft Progression Trios,DPR-SDP,CJ Abrams,San Diego Padres
Draft Progression Trios,DPR-SDP,MacKenzie Gore,San Diego Padres
Draft Progression Trios,DPR-SDP,Ryan Weathers,San Diego Padres
Draft Progression Trios,DPR-SFG,Hunter Bishop,San Francisco Giants
Draft Progression Trios,DPR-SFG,Joey Bart,San Francisco Giants
Draft Progression Trios,DPR-SFG,Heliot Ramos,San Francisco Giants
Draft Progression Trios,DPR-STL,Zack Thompson,St. Louis Cardinals
Draft Progression Trios,DPR-STL,Nolan Gorman,St. Louis Cardinals
Draft Progression Trios,DPR-STL,Zach Kirtley,St. Louis Cardinals
Draft Progression Trios,DPR-TEX,Chris Seise,Texas Rangers
Draft Progression Trios,DPR-TEX,Josh Jung,Texas Rangers
Draft Progression Trios,DPR-TEX,Cole Winn,Texas Rangers
Draft Progression Trios,DPR-TOR,Nate Pearson,Toronto Blue Jays
Draft Progression Trios,DPR-TOR,Jordan Groshans,Toronto Blue Jays
Draft Progression Trios,DPR-TOR,Alek Manoah,Toronto Blue Jays
Draft Pick Breakdown,BSB-AM,Alek Manoah,Toronto Blue Jays
Draft Pick Breakdown,BSB-AR,Adley Rutschman,Baltimore Orioles
Draft Pick Breakdown,BSB-AV,Andrew Vaughn,Chicago White Sox
Draft Pick Breakdown,BSB-CA,CJ Abrams,San Diego Padres
Draft Pick Breakdown,BSB-HB,Hunter Bishop,San Francisco Giants
Draft Pick Breakdown,BSB-JJ,Josh Jung,Texas Rangers
Draft Pick Breakdown,BSB-JJB,J.J. Bleday,Miami Marlins
Draft Pick Breakdown,BSB-NL,Nick Lodolo,Cincinnati Reds
