2018 TOPPS BASEBALL SERIES 1 CHECKLIST,,,
BASE,,,
319,David Peralta,Arizona Diamondbacks®,
320,Yasmani Grandal,Los Angeles Dodgers®,
321,Edwin Diaz,Seattle MarinersTM,
322,Parker Bridwell,Angels®,Rookie
323,Elvis Andrus,Texas Rangers®,
324,Jake Odorizzi,Tampa Bay RaysTM,
325,Khris Davis,Oakland AthleticsTM,
326,Joey Gallo,Texas Rangers®,
327,Jason Vargas,Kansas City Royals®,League Leaders
328,Tyler Flowers,Atlanta BravesTM,
329,George Springer,Houston Astros®,World Series
330,Ian Kinsler,Detroit Tigers®,
331,Zack Cozart,Cincinnati Reds®,
332,Alex Colome,Tampa Bay RaysTM,
333,Joe Musgrove,Houston Astros®,
334,Eddie Rosario,Minnesota Twins®,
335,Stephen Strasburg,Washington Nationals®,League Leaders
336,Bruce Maxwell,Oakland AthleticsTM,
337,Nick Ahmed,Arizona Diamondbacks®,
338,Brandon McCarthy,Los Angeles Dodgers®,
339,,Philadelphia Phillies®,Team Cards
340,Gary Sanchez,New York Yankees®,
341,J.D. Davis,Houston Astros®,Rookie
342,Sean Manaea,Oakland AthleticsTM,
343,Kevin Gausman,Baltimore Orioles®,
344,Wilmer Flores,New York Mets®,
345,Jose Reyes,New York Mets®,
346,Max Scherzer,Washington Nationals®,League Leaders
347,Kolten Wong,St. Louis Cardinals®,
348,Hisashi Iwakuma,Seattle MarinersTM,
349,,Washington Nationals®,Team Cards
350,Clayton Kershaw,Los Angeles Dodgers®,
BASE CARDS,CLEAR VARIATIONS,,
1,Aaron Judge,New York Yankees®,
6,Dominic Smith,New York Mets®,Rookie
7,Clint Frazier,New York Yankees®,Rookie
10,Francisco Lindor,Cleveland Indians®,
11,Aaron Nola,Philadelphia Phillies®,
13,Jay Bruce,Cleveland Indians®,
18,Rafael Devers,Boston Red Sox®,Rookie
20,Chris Sale,Boston Red Sox®,
21,Harrison Bader,St. Louis Cardinals®,Rookie

25,Manny Machado,Baltimore Orioles®,
30,Carlos Correa,Houston Astros®,
33,Dexter Fowler,St. Louis Cardinals®,
42,Cody Bellinger,Los Angeles Dodgers®,
44,Trea Turner,Washington Nationals®,
47,Hunter Pence,San Francisco Giants®,
50,Anthony Rizzo,Chicago Cubs®,
58,Ryan Zimmerman,Washington Nationals®,
60,Starling Marte,Pittsburgh Pirates®,
62,Austin Hays,Baltimore Orioles®,Rookie
63,Amed Rosario,New York Mets®,Rookie
68,Billy Hamilton,Cincinnati Reds®,
81,Adam Wainwright,St. Louis Cardinals®,
82,Justin Smoak,Toronto Blue Jays®,
86,Eric Hosmer,Kansas City Royals®,
88,Michael Conforto,New York Mets®,
89,Yasiel Puig,Los Angeles Dodgers®,
90,Miguel Cabrera,Detroit Tigers®,
93,Jack Flaherty,St. Louis Cardinals®,Rookie
95,Tyler Mahle,Cincinnati Reds®,Rookie
100,Giancarlo Stanton,Miami Marlins®,
102,Wil Myers,San Diego PadresTM,
105,Daniel Murphy,Washington Nationals®,
115,Zack Granite,Minnesota Twins®,Rookie
118,Ian Happ,Chicago Cubs®,
