Card Set,Number,Player,Team,
Chrome,BDC-120,Shed Long,Cincinnati Reds,
Chrome,BDC-121,Kody Clemens,Detroit Tigers,
Chrome,BDC-122,Josh Naylor,San Diego Padres,
Chrome,BDC-123,Sheldon Neuse,Oakland Athletics,
Chrome,BDC-124,Nick Decker,Boston Red Sox,
Chrome,BDC-125,Cole Roederer,Chicago Cubs,
Chrome,BDC-126,Albert Abreu,New York Yankees,
Chrome,BDC-127,Dallas Woolfolk,Oakland Athletics,
Chrome,BDC-128,Adonis Medina,Philadelphia Phillies,
Chrome,BDC-129,Tristan Pompey,Miami Marlins,
Chrome,BDC-130,Michel Baez,San Diego Padres,
Chrome,BDC-131,Pavin Smith,Arizona Diamondbacks,
Chrome,BDC-132,Brian Miller,Miami Marlins,
Chrome,BDC-133,Heliot Ramos,San Francisco Giants,
Chrome,BDC-134,Cadyn Grenier,Baltimore Orioles,
Chrome,BDC-135,Brady Singer,Kansas City Royals,
Chrome,BDC-136,Andres Gimenez,New York Mets,
Chrome,BDC-137,Griffin Roberts,St. Louis Cardinals,
Chrome,BDC-138,Greg Deichmann,Oakland Athletics,
Chrome,BDC-139,Sean Hjelle,San Francisco Giants,
Chrome,BDC-140,Kenen Irizarry,Texas Rangers,
Chrome,BDC-141,Alfonso Rivas,Oakland Athletics,
Chrome,BDC-142,Daniel Lynch,Kansas City Royals,
Chrome,BDC-143,Matt Mercer,Arizona Diamondbacks,
Chrome,BDC-144,Sean Guilbe,San Diego Padres,
Chrome,BDC-145,Matt Manning,Detroit Tigers,
Chrome,BDC-146,Alec Hansen,Chicago White Sox,
Chrome,BDC-147,Jackson Goddard,Arizona Diamondbacks,
Chrome,BDC-148,Jesus Luzardo,Oakland Athletics,
Chrome,BDC-149,Nick Dunn,St. Louis Cardinals,
Chrome,BDC-150,MacKenzie Gore,San Diego Padres,
Chrome,BDC-151,Jeter Downs,Cincinnati Reds,
Chrome,BDC-152,Grant Witherspoon,Tampa Bay Rays,
Chrome,BDC-153,Griffin Conine,Toronto Blue Jays,
Chrome,BDC-154,Adam Hill,New York Mets,
Chrome,BDC-155,Alek Thomas,Arizona Diamondbacks,
Chrome,BDC-156,Tyler Frank,Tampa Bay Rays,
Chrome,BDC-157,Sean Wymer,Toronto Blue Jays,
Chrome,BDC-158,Connor Scott,Miami Marlins,
Chrome,BDC-159,Owen White,Texas Rangers,
Chrome,BDC-160,Jameson Hannah,Oakland Athletics,
Chrome,BDC-161,Mike Siani,Cincinnati Reds,
Chrome,BDC-162,Triston McKenzie,Cleveland Indians,
Chrome,BDC-163,Bobby Bradley,Cleveland Indians,
Chrome,BDC-164,Mason Denaburg,Washington Nationals,
Chrome,BDC-165,Nico Hoerner,Chicago Cubs,
Chrome,BDC-166,Matt Thaiss,Los Angeles Angels,
Chrome,BDC-167,Ryan Mountcastle,Baltimore Orioles,
Chrome,BDC-168,Eloy Jimenez,Chicago White Sox,
Chrome,BDC-169,Logan Allen,San Diego Padres,
Chrome,BDC-170,Dane Dunning,Chicago White Sox,
Chrome,BDC-171,Triston Casas,Boston Red Sox,
Chrome,BDC-172,Bryan Mata,Boston Red Sox,
Chrome,BDC-173,Cole Winn,Texas Rangers,
Chrome,BDC-174,Leury Tejada,Texas Rangers,
Chrome,BDC-175,Sam Carlson,Seattle Mariners,
Chrome,BDC-176,Raynel Delgado,Cleveland Indians,
Chrome,BDC-177,Leody Taveras,Texas Rangers,
Chrome,BDC-178,Justin Dunn,New York Mets,
Chrome,BDC-179,Jeremy Eierman,Oakland Athletics,
Chrome,BDC-180,Jesus Sanchez,Tampa Bay Rays,
Chrome,BDC-181,Simeon Woods-Richardson,New York Mets,,
